14,fb,"広島電鉄","","大学病院南門"
1414,142a,"広島バス","","可部中央"
15,55f5,"広島バス","","紙屋町県庁前"
1f,1fe,"中国ＪＲバス","","呉駅前"
22,514,"阪急バス","","夙川短大前"
514,1,"広電バス","","広島駅"
514,2,"広電バス","","女学院前"
514,3,"広電バス","","合同庁舎前"
514,4,"広電バス","","広島バスセンター"
514,5,"広電バス","","八丁堀"
5d1,0,"広島電鉄","","共通"
5d1,4ea3,"広島電鉄","","県病院前"
5d1,4ea5,"広島電鉄","","袋町"
5d1,4ea7,"広島電鉄","","中電前"
5d1,4ea9,"広島電鉄","","市役所前"
5d1,4eab,"広島電鉄","","鷹野橋"
5d1,4ead,"広島電鉄","","日赤病院前"
5d1,4eaf,"広島電鉄","","広電本社前"
5d1,4eb1,"広島電鉄","","御幸橋"
5d1,4eb3,"広島電鉄","","皆実町六丁目"
5d1,4eb5,"広島電鉄","","広大附属学校前"
5d1,4eb7,"広島電鉄","","県病院前"
5d1,4eb9,"広島電鉄","","宇品二丁目"
5d1,4ebb,"広島電鉄","","宇品三丁目"
5d1,4ebd,"広島電鉄","","宇品四丁目"
5d1,4ebf,"広島電鉄","","宇品五丁目"
5d1,4ec1,"広島電鉄","","海岸通"
5d1,4ec3,"広島電鉄","","元宇品口"
5d1,4ec5,"広島電鉄","","広島港"
5d1,4ef3,"広島電鉄","","広島駅"
5d1,4ef5,"広島電鉄","","猿猴橋町"
5d1,4ef7,"広島電鉄","","的場町"
5d1,4efa,"広島電鉄","","稲荷町"
5d1,4efc,"広島電鉄","","銀山町"
5d1,4efe,"広島電鉄","","胡町"
5d1,4f00,"広島電鉄","","八丁堀"
5d1,4f02,"広島電鉄","","立町"
5d1,4f04,"広島電鉄","","紙屋町東"
5d1,4f06,"広島電鉄","","紙屋町西"
5d1,4f08,"広島電鉄","","原爆ドーム前"
5d1,4f0a,"広島電鉄","","本川町"
5d1,4f0c,"広島電鉄","","十日市町"
5d1,4f0e,"広島電鉄","","土橋"
5d1,4f10,"広島電鉄","","小網町"
5d1,4f12,"広島電鉄","","天満町"
5d1,4f14,"広島電鉄","","観音町"
5d1,4f16,"広島電鉄","","西観音町"
5d1,4f18,"広島電鉄","","福島町"
5d1,4f1b,"広島電鉄","","広電西広島"
5d1,4f27,"広島電鉄","","商工センター入口"
5d1,4f45,"広島電鉄","","宮島口"
5d1,4fa0,"広島電鉄","","本川町"
5d1,5025,"広島電鉄","","段原一丁目"
5d1,5027,"広島電鉄","","比治山下"
5d1,5029,"広島電鉄","","比治山橋"
5d1,502b,"広島電鉄","","南区役所前"
5d1,502d,"広島電鉄","","皆実町二丁目"
5d1,5071,"広島電鉄","","女学院前"
5d1,5073,"広島電鉄","","縮景園前"
5d1,5075,"広島電鉄","","家庭裁判所前"
5d1,5077,"広島電鉄","","白島"
5d1,5093,"広島電鉄","","横川駅"
5d1,5095,"広島電鉄","","横川一丁目"
5d1,5097,"広島電鉄","","別院前"
5d1,5099,"広島電鉄","","寺町"
